lemma,rank,translation,original_lemma,pos
budismo,21951,Non-theistic religion belonging to the Dharma family and the Nastika subfamily of religions,budismo,n
cervical,21952,Which belongs to or concerns the neck,cervical,adj
cultiva,21953,"Third person of the singular (he, she, it; you, 2nd person) of the present indicative of cultivating",cultivar,v
deletrear,21954,"Pronunciate separately the letters of each syllable, the syllables of each word and then the whole word; v. gr",deletrear,v
emprendió,21955,"Third person of the singular (he, she, it; you, 2nd person) of the perfect preterit simple indicative of undertaking",emprender,v
examinó,21956,"Third person of the singular (he, she, it; you, 2nd person) of the perfect preterit simple indicative of examining",examinar,v
grimes,21957,,,
lubricante,21958,"Gaseous, liquid or solid substance that replaces and facilitates friction between two parts",lubricante,n
mostraremos,21959,"First person of plural (we, us) of the future indicative of showing",mostrar,v
polígono,21960,Flat and closed figure limited by straight sides,polígono,n
tampa,21961,Gravestone or laud,tampa,n
tememos,21962,"First person of plural (we, us) of the present subjunctive of the topic",temar,v
arn,21963,,,
asigna,21964,"Third person of the singular (he, she, it; you, 2nd person) of the present indicative of assign",asignar,v
cinematografía,21965,The filming of moving images in the making of a film,cinematografía,n
clandestinos,21966,Form of the plural of clandestine,clandestino,adj
cosechar,21967,Collecting the fruits of the earth,cosechar,v
herejía,21968,"Opinions that are different from the integrity or probity of a religion, or have a belief contrary to dogmas, creeds and foundations established, in",herejía,n
humillada,21969,"Form of the female humiliated, participled of humiliating or humiliating",humillado,participle
inservible,21970,Not servable or not in a state of service,inservible,adj
leonel,21971,,,
lógicas,21972,Form of the plural female logic,lógico,adj
muletas,21973,Form of crutch plural,muleta,n
party,21974,,,
premiado,21975,Participation in award,premiado,v
representativos,21976,Form of the plural representative,representativo,adj
utilizará,21977,"Third person of the singular (he, she, it; you, 2nd person) of the future indicative of using",utilizar,v
abuelas,21978,Form of the plural of grandmother,abuela,n
ambulantes,21979,Form of the plural of street vendors,ambulante,n
analizó,21980,"Third person of the singular (he, she, it; you, 2nd person) of the perfect preterit simple indicative of analyzing",analizar,v
bucal,21981,Which belongs to or concerns the mouth,bucal,adj
cogerle,21982,,,
condecorado,21983,Commemorative,condecorado,v
disfrutamos,21984,"First person of plural (we, us) of the present indicative of enjoying",disfrutar,v
eficazmente,21985,,,
estafadores,21986,,,
gérard,21987,,,
melones,21988,Shape of the plural melon,melón,n
nexo,21989,Link and link between one thing and another,nexo,n
pavor,21990,"Fear, with fear or shock",pavor,n
seiscientos,21991,Sign or signs used to represent the number having six hundred units,seiscientos,n
utilizarla,21992,,,
blindados,21993,"Shape of the plural armor, armor participle",blindado,participle
canso,21994,First person of the singular (me) of the present indicative of tiredness or tiredness,cansar,v
desmontar,21995,Clean a mountain from shrubs or trees,desmontar,v
hipócritas,21996,Form of the plural hypocrite,hipócrita,adj
legiones,21997,Form of the plural legion,legión,n
mecánicas,21998,Form of the plural female mechanic,mecánico,adj
protagonizado,21999,Participated in starring,protagonizado,v
adultas,22000,Form of the plural female adult,adulto,adj
afectaría,22001,First person of the singular (me) conditional to affect,afectar,v
arrendamiento,22002,Lease action and effect,arrendamiento,n
conocerán,22003,"Third person of plural (they, them; you, 2nd person) of the future indicative of knowing",conocer,v
entusiasma,22004,"Third person of the singular (he, she, it; you, 2nd person) of the present indicative of enthusing",entusiasmar,v
favorecido,22005,Participation in favouring or favouring,favorecido,v
glaciar,22006,"Thick ice masses originating from the earth's surface by compaction and recrystallization of snow, showing evidence of flow in the past or",glaciar,n
inmensas,22007,Form of the feminine plural of immense,inmenso,adj
inmóviles,22008,Form of the plural of motionless,inmóvil,adj
patriótica,22009,Form of the female patriotic,patriótico,adj
pelucas,22010,Shape of the wig plural,peluca,n
profecías,22011,Form of the plural of prophecy,profecía,n
profesionalidad,22012,,,
saavedra,22013,,,
titanes,22014,,,
amorosos,22015,Form of the plural of loving,amoroso,adj
arrasar,22016,"Put a flat or flat surface, until everything is at the same level (to the bare ground)",arrasar,v
calumnias,22017,Second person of the singular (you) of the present indicative of slander,calumniar,v
camarógrafo,22018,"Person whose trade is the handling of a camera of photography, television, cinema or video",camarógrafo,n
ciegamente,22019,"In an unthinking, irrational, unconscious way",ciegamente,adv
concedo,22020,First person of the singular (me) of the present indicative grant,conceder,v
criolla,22021,Form of the singular female of Creole,criollo,adj
defraudado,22022,Participation in fraud,defraudado,v
etarra,22023,Member of the Basque nationalist terrorist gang ETA,etarra,n
gemido,22024,Gemper participation,gemido,v
grillos,22025,"Pair of iron rings that are placed on someone’s ankles to prevent their free movement when walking. They have been used for convicts, slaves",grillos,n
inagotable,22026,♪ Don't run out ♪,inagotable,adj
monada,22027,Mono’s own action,monada,n
ordinarios,22028,Form of the plural of ordinary,ordinario,adj
parecéis,22029,"Second person of plural (you, yourselves) of the present indicative of opinion or of opinion",parecer,v
planeamiento,22030,,,
quinientas,22031,,,
acortar,22032,"Make shorter. Decrease in length, extension, duration, time or quantity",acortar,v
agudas,22033,Form of the female plural of acute,agudo,adj
alfaro,22034,,,
coto,22035,Grounds,coto,n
dolorosos,22036,Form of the plural of painful,doloroso,adj
guardabosques,22037,Rangekeeper variant,guardabosques,n
intocable,22038,That you can't touch,intocable,adj
marcaron,22039,"Third person plural (they, them; you, 2nd person) of the perfect preterit simple indicative mark",marcar,v
obrar,22040,"Run an action, do something",obrar,v
pacientemente,22041,,,
pasivos,22042,Form of the liability plural,pasivo,n
patrañas,22043,Form of the plural of the lie,patraña,n
reproducen,22044,"Third person of plural (they, them; you, 2nd person) of the present indicative of reproduction or reproduction",reproducir,v
segun,22045,,,
soportas,22046,Second person of the singular (you) of the present indicative to support,soportar,v
aguardaba,22047,First person of the singular (me) of the imperfect preterite indicative of waiting or waiting,aguardar,v
anticuada,22048,"Form of the female of old-fashioned, participle of old-fashioned or of old-fashioned",anticuado,participle
ató,22049,"Third person of the singular (he, she, it; you, 2nd person) of the perfect preterit simple indicative of binding or binding",atar,v
ciudadela,22050,"A fortified building permanently built to defend or guard a city, or as a last refuge for its garrison",ciudadela,n
eros,22051,The form of the ero plural,ero,n
fragmentación,22052,,,
infectadas,22053,"Form of the plural female infected, participle of infecting",infectado,participle
informo,22054,First person of the singular (me) of the present indicative of reporting or of reporting,informar,v
inherente,22055,Which is an indispensable and inevitable feature of something,inherente,adj
insumos,22056,Input plural shape,insumo,n
internamente,22057,Inside,internamente,adv
magdalenas,22058,,,
mojadas,22059,Shape of the wet plural,mojada,n
participaciones,22060,Form of the plural of participation,participación,n
quincena,22061,Fifteen-day period,quincena,n
sevillano,22062,Person from Seville or resident in Spain,sevillano,adj
sigilo,22063,Discretion and secrecy with which you move or act any,sigilo,n
visionario,22064,"Who imagines or believes in visions, hallucinations or illusory, unreal, chimerical things",visionario,adj
abarcar,22065,Hanging with arms or hand something,abarcar,v
bañar,22066,Dip in water or other liquid,bañar,v
consisten,22067,"Third person of plural (they, them; you, 2nd person) of the present indicative of consist",consistir,v
cuidaría,22068,First person of the singular (me) conditional on caring or caring,cuidar,v
estropeó,22069,"Third person of the singular (he, she, it; you, 2nd person) of the perfect preterit simple indicative of spoiling",estropear,v
fallamos,22070,"First person of plural (we, us) of the present indicative of failure",fallar,v
falle,22071,First person of the singular (me) of the present subjunctive of failure,fallar,v
finalista,22072,Participation of the doctrine of the final causes,finalista,n
inundado,22073,Inundation,inundado,v
malibú,22074,,,
recorren,22075,"Third person of the plural (they, them; you, 2nd person) of the present indicative to travel",recorrer,v
sobresalientes,22076,Form of the plural of outstanding,sobresaliente,adj
sumaron,22077,"Third person of plural (they, them; you, 2nd person) of the perfect preterit simple indicative of adding",sumar,v
terceras,22078,Form of the plural female of third,tercero,adj
arqueólogo,22079,Person who has as his dedication the study of archaeology (discipline that studies the civilizations of antiquity and prehistory from the documents and artifacts that,arqueólogo,n
arévalo,22080,,,
atrevimiento,22081,Action or effect of daring,atrevimiento,n
barbería,22082,,,
circunferencia,22083,Set of points of the plane that are equidistant of a certain point (called center of the circumference). It is the perimeter of a circle,circunferencia,n
clonación,22084,Exact reproduction of a multicellular individual from a somatic cell. It is used in livestock and agriculture. Human cloning has been banned for ethical reasons,clonación,n
cocidas,22085,"Form of the feminine plural of cooked, participle of cooking",cocido,participle
continuando,22086,Gerundius to continue,continuando,v
contornos,22087,Shape of the plural contour,contorno,n
correspondido,22088,Participation in matching or reciprocating,correspondido,v
electrónicas,22089,Form of the plural female electronic,electrónico,adj
evitarse,22090,Exempting from vassallage,evitarse,v
fernanda,22091,,,
godoy,22092,,,
injerto,22093,Action or effect of grafting,injerto,n
mena,22094,"Metal mineral, as it exists in the field",mena,n
nerds,22095,,,
quietas,22096,Second person of the singular (you) of the present sign of quieter,quietar,v
rivero,22097,,,
santificado,22098,Participation in sanctification,santificado,v
voilà,22099,,,
íntegro,22100,"It is said of that which is complete, that none of the parts that make it up lack it",íntegro,adj
agotar,22101,Ending resources or possibilities until their disappearance,agotar,v
biberón,22102,Ration of milk or other liquid that fits in a bottle1,biberón,n
disuelto,22103,Irregular participation in dissolution,disuelto,v
dávila,22104,,,
elfo,22105,,,
fabulosos,22106,Shape of the plural of fabulous,fabuloso,adj
gerona,22107,,,
halagada,22108,"Form of the feminine flattered, participle flatter",halagado,participle
palmada,22109,Hit that with the palm of the hand,palmada,n
pararé,22110,First person of the singular (me) of the future indicative of stopping or stopping,parar,v
preceptos,22111,Form of the plural of precept,precepto,n
raciales,22112,Form of the plural of racial,racial,adj
trazas,22113,Second person of the singular (you) of the present indicative trace,trazar,v
aclararlo,22114,,,
aya,22115,Form of the female singular of ayo,ayo,n
cardiovascular,22116,Own heart and set of vessels of the circulatory system or related to both,cardiovascular,adj
contigua,22117,Form of the female singular of contiguous,contiguo,adj
contrapartida,22118,"Positive event that manages to compensate a negative event, or vice versa",contrapartida,n
contratan,22119,"Third person plural (they, them; you, 2nd person) of the present indicative of hiring",contratar,v
decoro,22120,"Fitting in style, presentation or behavior",decoro,n
determinantes,22121,Form of the plural determinant,determinante,n
diestra,22122,Right (side),diestra,n
domiciliario,22123,Which belongs to or concerns the domicile,domiciliario,adj
hinchas,22124,Second person of the singular (you) of the present subjunctive of henchir,henchir,v
infecciosas,22125,Form of the plural female of infectious,infeccioso,adj
naranjo,22126,"(Citrus × sinensis) Fruit tree of the Rutaceae family, hybrid as most cultivars of the genus Citrus, which",naranjo,n
orión,22127,,,
pinar,22128,Pine forest or coniferous forest; pine populated area,pinar,n
socialización,22129,"Converting, training or educating to become a part of society",socialización,n
tapiz,22130,"Large cloth, wool or silk fabric, and sometimes gold and silver, in which paintings of history, countries or other things are copied, and serves for shelter",tapiz,n
acompañadas,22131,"Form of the plural female accompanied, adjective and also participle of accompanying or accompanying",acompañado,participle
asistenta,22132,"The assistant's wife, like the one in Seville",asistenta,n
cagó,22133,"Third person singular (he, she, it; you, 2nd person) from the perfect preterit simple indicative of shitting or shitting",cagar,v
camaleón,22134,"(family Chamaeleonidae) Any of several species of small to medium size saurian reptiles, prehensile tail, independent movement eyes and",camaleón,n
chic,22135,That is distinguished by grace and refinement of its appearance,chic,adj
devotos,22136,Form of the devotee plural,devoto,n
habias,22137,,,
lirios,22138,Shape of the plural of lily,lirio,n
octavia,22139,,,
portar,22140,Carry something leaning on the body or hand. :*Use: formal,portar,v
repararlo,22141,,,
vietnamita,22142,Official Austro-Asian Language in Vietnam,vietnamita,n
abordado,22143,Participation in addressing,abordado,v
adoptaron,22144,"Third person plural (they, them; you, 2nd person) of the perfect preterit simple indicative of adopting",adoptar,v
arribo,22145,"Arrival, arrival action",arribo,n
calló,22146,"Third person of the singular (he, she, it; you, 2nd person) of the perfect preterit simple indicative of silence",callar,v
celebrarán,22147,"Third person of plural (they, them; you, 2nd person) of the future indicative of celebrating",celebrar,v
confinado,22148,Confining participation,confinado,v
cómodas,22149,Form of the plural of the dresser,cómoda,n
discotecas,22150,,,
escandalosa,22151,Form of the female scandalous,escandaloso,adj
exportadores,22152,Form of the plural exporter,exportador,adj
jaume,22153,,,
kosovo,22154,,,
leches,22155,Second person of the singular (you) of the present subjunctive of milk,lechar,v
meros,22156,Form of the plural of the group,mero,n
mojados,22157,Shape of the wet plural,mojado,n
mujerzuela,22158,Women's reduction,mujerzuela,n
neutro,22159,"In an alternate voltage distribution system, conductor has an absolute electrical potential equal to zero volts, usually connected to the ground (service) and used as",neutro,n
quedarías,22160,"Second person of the singular (you, you) of the conditionality of remaining or staying",quedar,v
retablo,22161,"Artistic work that in the churches exposes and arranges the images of worship, located behind the altar table. From the thirteenth century it acquired architectural forms",retablo,n
semántica,22162,"Study of the meaning, meaning or interpretation of a word, of a symbol or of another type of element, in relation to reality and communication",semántica,n
sintomatología,22163,,,
villegas,22164,,,
benéfico,22165,Tell yourself what a good does or produces,benéfico,adj
catre,22166,Folding bed with scissors frame,catre,n
estudiaste,22167,"Second person of the singular (you, you) of the perfect preterit simple indicative of study",estudiar,v
fertilizante,22168,Organic or inorganic substance containing nutrients in plant-like forms,fertilizante,n
forzosamente,22169,"By force, whether you don't want it or against your own will",forzosamente,adv
hard,22170,,,
implícita,22171,Form of the female singular of implied,implícito,adj
pactar,22172,"To reach an agreement between two or more persons or entities to conclude something, forcing each other to perform it",pactar,v
partirá,22173,"Third person of the singular (he, she, it; you, 2nd person) of the future indicative of departure or of departure",partir,v
perseverancia,22174,"The action and effect of staying unchanged in action, belief, posture, purpose, etc",perseverancia,n
poniente,22175,Blowing wind from the west,poniente,n
transitoria,22176,Form of the female transient,transitorio,adj
turísticas,22177,Form of the plural female tourist,turístico,adj
afluencia,22178,"Action or effect of flowing or flowing, especially abundantly, to a point",afluencia,n
atraparlos,22179,,,
burlar,22180,"Cheating, lying to someone",burlar,v
callejones,22181,Shape of the plural alley,callejón,n
chamán,22182,Traditional healer using spiritual methods to heal others,chamán,n
constructiva,22183,Form of the female construction worker,constructivo,adj
derrumba,22184,"Third person of the singular (he, she, it; you, 2nd person) of the present indicative of collapsing",derrumbar,v
insertar,22185,,insertar,v
narcotraficante,22186,Person who illegally traffics in psychotropic or narcotic drugs,narcotraficante,n
nicholson,22187,,,
ordenanzas,22188,Form of the plural of ordinance,ordenanza,n
reservé,22189,First person of the singular (me) of the perfect preterit simple indicative booking,reservar,v
torear,22190,,torear,v
ubicadas,22191,Form of the plural female of location,ubicado,participle
abandonamos,22192,"First person of plural (we, us) of the present indicative of leaving or of leaving",abandonar,v
adquisiciones,22193,Form of the plural of acquisition,adquisición,n
aeronave,22194,"Vehicle moving through the air, without contact with the ground",aeronave,n
arbitro,22195,First person of the singular (me) of the present indicative of arbitrar,arbitrar,v
arrastraba,22196,First person of the singular (me) of the imperfect preterite of drag sign,arrastrar,v
arrugado,22197,Participation in wrinkling or wrinkling,arrugado,v
buscarlas,22198,,,
cargan,22199,"Third person plural (they, them; you, 2nd person) of the present Indicative load",cargar,v
delgados,22200,Shape of the plural of thin,delgado,n
escapará,22201,"Third person of the singular (he, she, it; you, 2nd person) of the future indicative of escape or escape",escapar,v
incluirá,22202,"Third person of the singular (he, she, it; you, 2nd person) of the indicative future of including",incluir,v
mundialmente,22203,Globally,mundialmente,adv
ranking,22204,"List or classification of a certain number of things or persons, ordered according to the criteria previously established",ranking,n
rublos,22205,Shape of the plural ruble,rublo,n
samba,22206,"Popular musical genre of Brazilian origin and African descent, in 2/4 rhythm",samba,n
sudoeste,22207,"Point of the horizon located between the south and the west, equal distance from both, that is, 45 degrees from each",sudoeste,n
uniendo,22208,Gerundius of uniting,uniendo,v
vestidor,22209,,,
apúrese,22210,Second person of the singular (you) of the affirmative imperative to hurry (with the enclitic pronoun),apurarse,v
azote,22211,Instrument to be whipped,azote,n
cisnes,22212,Shape of the plural swan,cisne,n
condujeron,22213,"Third person plural (they, them; you, 2nd person) of the perfect preterit simple indicative of driving or driving",conducir,v
creativas,22214,Form of the plural of creative,creativa,n
dubai,22215,,,
gobernadora,22216,Form of the singular female governor,gobernador,adj
marxistas,22217,Form of the Marxist plural,marxista,adj
mistral,22218,,,
nevando,22219,Snowberg,nevando,v
oligarquía,22220,Form or condition of a government in which political power is exercised by a small group of people,oligarquía,n
anfetaminas,22221,Form of the plural of amphetamine,anfetamina,n
besaba,22222,First person of the singular (me) of the imperfect preterite of kiss sign,besar,v
brazaletes,22223,Shape of the plural bracelet,brazalete,n
chakra,22224,"Energy centers that, according to Hinduism, are located in the human body",chakra,n
devolvieron,22225,"Third person plural (they, them; you, 2nd person) of the perfect preterit simple indicative return",devolver,v
disputado,22226,Participation in dispute,disputado,v
fuman,22227,"Third person plural (they, them; you, 2nd person) of the present indicative of smoking",fumar,v
inventada,22228,"Form of the female invented, participle to invent",inventado,participle
ladrar,22229,♪ Sweeping the dog ♪,ladrar,v
ocasionales,22230,Occasional plural shape,ocasional,adj
rugido,22231,"A loud, explosive and deep voice of some big cats, especially the lion and tiger, which is produced with a wide mouth",rugido,n
saludarte,22232,,,
unitario,22233,"Television series, fictions between 11 and 40 chapters broadcast once a week, usually without a line of continuity",unitario,n
apoyaron,22234,"Third person plural (they, them; you, 2nd person) of the perfect preterit simple indicative of support or support",apoyar,v
atacamos,22235,"First person of plural (we, us) of the present indicative of attack",atacar,v
castigando,22236,Gerundius of punishing,castigando,v
conmovió,22237,"Third person of the singular (he, she, it; you, 2nd person) of the perfect preterit simple indicative of touching or touching",conmover,v
controlarte,22238,,,
entrenó,22239,"Third person of the singular (he, she, it; you, 2nd person) of the perfect preterit simple indicative of training or training",entrenar,v
fallecida,22240,"Form of the female deceased, participle of dying",fallecido,participle
galante,22241,"Attentive, courtier, giftful, especially with the ladies",galante,adj
horóscopo,22242,Position of planets and stars at the time of a person's birth; A diagram of these positions. Pronostic about the future of a person based,horóscopo,n
innecesariamente,22243,,,
sustenta,22244,"Third person of the singular (he, she, it; you, 2nd person) of the present indicative of sustaining",sustentar,v
sílabas,22245,Syllable plural shape,sílaba,n
tentáculos,22246,Form of the plural tentacle,tentáculo,n
concursante,22247,What a contest,concursante,adj
decadente,22248,The Decade of Decadentism,decadente,n
dártelo,22249,,,
ensuciar,22250,Cover with dirt something,ensuciar,v
esperarás,22251,"Second person of the singular (you, you) of the future indicative of waiting or waiting",esperar,v
estorbo,22252,"Obstacle, impediment, which hinders or hinders",estorbo,n
estrangulado,22253,Participated in strangulation,estrangulado,v
estriba,22254,"Third person of the singular (he, she, it; you, 2nd person) of the present indicative of the",estribar,v
liberaron,22255,"Third person of plural (they, them; you, 2nd person) of the perfect preterit simple indicative of liberation or liberation",liberar,v
meteorológico,22256,Which belongs to or concerns meteorology,meteorológico,adj
parroquial,22257,Which belongs to or concerns the parish or parishes (in its different meanings),parroquial,adj
pericia,22258,Skills or skills acquired through study or experience in a discipline,pericia,n
porras,22259,Form of the plural of the baton,porra,n
resistencias,22260,Form of the plural resistance,resistencia,n
traumática,22261,Form of the female traumatic,traumático,adj
altísimo,22262,Epithet applied to God,altísimo,n
antepasado,22263,"Participated in the verb, today in disuse, ancestor (which has taken place previously)",antepasado,v
aplicables,22264,Form of the plural of applicable,aplicable,adj
apoyará,22265,"Third person of the singular (he, she, it; you, 2nd person) of the future indicative of support or support",apoyar,v
avestruz,22266,"(Struthio camelus) Runner bird, of the strutioniform order, of the strutionidae family. It is the",avestruz,n
conectarse,22267,Connect (pronominal use of...),conectarse,v
emparedado,22268,"Food consisting of one or more ingredients within two or more layers of bread, usually using slices of bread of mold",emparedado,n
nitidez,22269,Condition or character of sharp,nitidez,n
oval,22270,Which belongs to or concerns ovation,oval,adj
precisan,22271,"Third person of plural (they, them; you, 2nd person) of this indicative to specify",precisar,v
probarme,22272,,,
putita,22273,,,
rodear,22274,Being around someone or something,rodear,v
sacrificó,22275,"Third person of the singular (he, she, it; you, 2nd person) of the perfect preterit simple indicative of sacrifice or sacrifice",sacrificar,v
zelda,22276,,,
cabezón,22277,"External organ of the male between vertebrates, in which the ducts of the urinary system and the genitals end",cabezón,n
coreana,22278,Form of the unique female Korean,coreano,adj
entenderme,22279,,,
espasmos,22280,Shape of spasm plural,espasmo,n
madriguera,22281,Shelter located underground where animals are collected to protect themselves from the outside and their natural enemies,madriguera,n
mataban,22282,"Third person of the plural (they, them; you, 2nd person) of the imperfect preterite of the sign of killing",matar,v
newark,22283,,,
planas,22284,Form of the plural of the plane,plana,n
priscilla,22285,,,
protestó,22286,"Third person of the singular (he, she, it; you, 2nd person) of the perfect preterit simple indicative of protest",protestar,v
sudamericano,22287,"Originary, relative to, or proper to South America",sudamericano,adj
tirantes,22288,Shape of the plural strap,tirante,n
aspiran,22289,"Third person of plural (they, them; you, 2nd person) of the present indicative of aspiration",aspirar,v
confia,22290,,,
demandando,22291,Gerundio de sue,demandando,v
desplazados,22292,"The plural form of the displaced, participle of moving or of moving",desplazado,participle
doblando,22293,Gerundium of bending,doblando,v
frailes,22294,Shape of the plural of friar,fraile,n
lula,22295,,,
nulidad,22296,Quality or quality of null,nulidad,n
partidaria,22297,Form of female supporter,partidario,adj
prevalece,22298,"Third person of the singular (he, she, it; you, 2nd person) of the present indicative of prevail",prevalecer,v
provocaba,22299,First person of the singular (me) of the imperfect preterite indicative of provoking,provocar,v
selectivo,22300,,,
aprenderé,22301,First person of the singular (me) of the future indicative of learning or learning,aprender,v
asesinando,22302,Gerundius of Murder,asesinando,v
averiguaciones,22303,Form of the plural of inquiry,averiguación,n
chefs,22304,Form of the plural chef,chef,n
chocante,22305,,,
clavícula,22306,"Each of the two human bones visible on the skin, ranging from the sternum (under the throat) to a shoulder. It is elongated and",clavícula,n
conservo,22307,First person of the singular (me) of the present indicative of preserving or preserving,conservar,v
controlas,22308,Second person of the singular (you) of the present indicative of control or control,controlar,v
demandan,22309,"Third person of plural (they, them; you, 2nd person) of the present indicative of demand",demandar,v
descomunal,22310,"Extraordinary, monstrous, huge; very far from the usual in your line",descomunal,adj
devastado,22311,"Participation in devastate (leave to ruins, ravage, raze)",devastado,v
garrote,22312,"Stick or stick of different size and thickness, used as a weapon",garrote,n
inoportuno,22313,You say something when it comes at a bad time,inoportuno,adj
lagartija,22314,Common name of various species of reptiles of the Lacertidae and Gekkonidae families,lagartija,n
perplejidad,22315,State of the Perplexed,perplejidad,n
perspicaz,22316,"Having or showing acute, penetrating mental perception",perspicaz,adj
petroleras,22317,,,
pretendió,22318,"Third person of the singular (he, she, it; you, 2nd person) of the perfect preterit simple indicative of pretend",pretender,v
renegado,22319,"Deck game between three players, each of whom receives nine cards and wins who makes the highest number of cards in each pitch",renegado,n
telaraña,22320,Fabric that forms the spider,telaraña,n
vacio,22321,,,
destroza,22322,"Third person of the singular (he, she, it; you, 2nd person) of the present indicative of destroying",destrozar,v
induce,22323,"Third person of the singular (he, she, it; you, 2nd person) of the present indicative of inducement",inducir,v
reinserción,22324,,,
equivocaron,22325,"Third person plural (they, them; you, 2nd person) of the perfect preterit simple indicative of wrong or wrong",equivocar,v
excedentes,22326,Form of the surplus plural,excedente,adj
inalcanzable,22327,"That it's not reachable, that it's out of reach",inalcanzable,adj
indestructible,22328,,,
matrimoniales,22329,Form of the plural of marriage,matrimonial,adj
nadador,22330,Right hand person in swimming,nadador,n
ovarios,22331,"I pawn, I insist, I persevere (of a woman)",ovarios,n
portátiles,22332,Portable plural shape,portátil,adj
practico,22333,First person of the singular (me) of the present indicative of practicing,practicar,v
rene,22334,,,
sellados,22335,"Form of the plural sealing, participle sealing",sellado,participle
temían,22336,"Third person of the plural (they, them; you, 2nd person) of the imperfect preterite indicative of fear",temer,v
vértice,22337,Point where the two sides of the angle are located,vértice,n
belfast,22338,,,
cotas,22339,Second person of the singular (you) of the present indicative of the,cotar,v
desistir,22340,"Stop insisting, interrupting an effort, an action, etc",desistir,v
divertiste,22341,"Second person of the singular (you, you) of the perfect preterit simple indicative of fun or fun",divertir,v
gluten,22342,Paste glue,gluten,n
justifican,22343,"Third person of plural (they, them; you, 2nd person) of the present indicative of justifying or justifying oneself",justificar,v
posteridad,22344,"Seed, set of people belonging to future generations",posteridad,n
preocupando,22345,Gerundius of Worrying,preocupando,v
primicia,22346,First result or product of something; initial fruit,primicia,n
reflexiona,22347,"Third person of the singular (he, she, it; you, 2nd person) of the present indicative of reflection",reflexionar,v
rehusó,22348,"Third person of the singular (he, she, it; you, 2nd person) of the perfect preterit simple indicative of refusing",rehusar,v
sarmiento,22349,Stem of the vine,sarmiento,n
toño,22350,,,
transversal,22351,Crossing side by side,transversal,adj
aeródromo,22352,Station for the travel and departure and take-off of aircraft,aeródromo,n
aislante,22353,Insulating blanket,aislante,n
aterriza,22354,"Third person of the singular (he, she, it; you, 2nd person) of the present indicative of landing",aterrizar,v
centrar,22355,"Put, place in the center",centrar,v
chorros,22356,Form of the plural jet,chorro,n
disparará,22357,"Third person of the singular (he, she, it; you, 2nd person) of the future indicative of shooting or shooting",disparar,v
fisco,22358,"All State administration bodies responsible for collecting taxes, as well as the administration of income and expenditure",fisco,n
hubble,22359,,,
inflexión,22360,Arching of something that was flat or straight,inflexión,n
ingresaron,22361,"Third person of plural (they, them; you, 2nd person) of the perfect preterit simple of indication of entering",ingresar,v
medioambiental,22362,That is related to the environment,medioambiental,adj
migraña,22363,"Severe headache, which does not calm down with acetylsalicylic acid or other common painkillers, takes only one side of the head and",migraña,n
pija,22364,Penis,pija,n
presidio,22365,Establishment for the accommodation of persons sentenced to deprivation of liberty,presidio,n
sácanos,22366,,,
vengador,22367,Let him come or come,vengador,adj
acercaban,22368,"Third person of plural (they, them; you, 2nd person) of imperfect preterite indicative of approaching or approaching",acercar,v
alcances,22369,Second person of the singular (you) of the present subjunctive to reach or be reached,alcanzar,v
antoja,22370,"Third person of the singular (he, she, it; you, 2nd person) of the present indicative of wanting",antojarse,v
ascendieron,22371,"Third person of plural (they, them; you, 2nd person) of the perfect preterit simple indicative of ascending",ascender,v
bruma,22372,"Little dense fog, especially that formed on the seashore",bruma,n
cornudo,22373,"(Sphyrna spp.) Any of nine shark species, with protuberances on the sides of the head at whose end the eyes and",cornudo,n
embrague,22374,Clutch action or effect,embrague,n
entregaste,22375,"Second person of the singular (you, you) of the perfect preterit simple indicative of surrender or surrender",entregar,v
filmó,22376,"Third person of the singular (he, she, it; you, 2nd person) of the perfect preterit simple of indicative filming",filmar,v
melancólica,22377,Form of the female melancholic,melancólico,adj
orgasmos,22378,Form of the plural orgasm,orgasmo,n
piratería,22379,Pirate practice or trade,piratería,n
saltaba,22380,First person of the singular (me) of the imperfect preterite of jumping sign,saltar,v
secuaces,22381,Shape of the plural of henchman,secuaz,adj
virilidad,22382,Virile quality,virilidad,n
butacas,22383,Form of the plural seat,butaca,n
búfalos,22384,Shape of the buffalo plural,búfalo,n
devolviendo,22385,Gerundium of return,devolviendo,v
follaje,22386,Abundance of leaves having a tree or plant,follaje,n
guionistas,22387,Form of the plural scriptwriter,guionista,n
huía,22388,First person of the singular (me) of the imperfect preterite indicative of fleeing,huir,v
justificó,22389,"Third person of the singular (he, she, it; you, 2nd person) of the perfect preterit simple indicative of justifying or justifying",justificar,v
largado,22390,Participio de vagar,largado,v
palabrotas,22391,Form of the plural of swearing,palabrota,n
recibimiento,22392,Action or effect of receiving,recibimiento,n
rumba,22393,"Vivid and disordered celebration, especially the one that goes from place to place",rumba,n
triangular,22394,Arrange the pieces of a frame so that they form triangles,triangular,v
vigilaba,22395,First person of the singular (me) of the imperfect preterite of watchful sign,vigilar,v
aclaración,22396,Action or effect of clarifying or clarifying,aclaración,n
adoptivo,22397,Who has been accepted and legally declared the son or daughter of another person; who has been adopted,adoptivo,adj
apago,22398,First person of the singular (me) of the present sign of shutdown,apagar,v
bayona,22399,,,
biotecnología,22400,"Set of applications of biological sciences used in technological and industrial processes to obtain improvements in useful products, such as food or medicine",biotecnología,n
contraataque,22401,Attack that is given as reaction to a previous attack of the opponent,contraataque,n
decirtelo,22402,,,
