lemma,rank,translation,original_lemma,pos
chechenia,20876,Chechnya,Chechenia,prop
colchones,20877,mattress,colchón,n
conseguirán,20878,to achieve; succeed in; reach; accomplish; attain,conseguir,v
cubrirse,20879,to cover,cubrir,v
enredado,20880,tangled,enredar,v
enérgica,20881,energetic,enérgico,adj
escaparte,20882,to escape; get out,escapar,v
esperarte,20883,to wait; to hold on,esperar,v
ingrato,20884,thankless,ingrato,adj
interfaz,20885,interface,interfaz,n
librerías,20886,bookshop; bookstore,librería,n
medicinales,20887,medicine,medicinal,adj
niñeras,20888,babysitter,niñero,n
recibiría,20889,to receive; get,recibir,v
secadora,20890,dryer; clothes dryer,secadora,n
suministrar,20891,to provide; supply,suministrar,v
transformando,20892,to transform,transformar,v
abandonaré,20893,to abandon; to leave,abandonar,v
abuelito,20894,grandfather,abuelito,n
ataúdes,20895,coffin; casket,ataúd,n
bolero,20896,bolero,bolero,n
cacharro,20897,pot; crock,cacharro,n
cascabel,20898,jingle bell; sleigh bell,cascabel,n
causarle,20899,to cause; to make,causar,v
circulares,20900,circular,circular,n
comestible,20901,edible; comestible,comestible,adj
convertirán,20902,to convert,convertir,v
dejáis,20903,to leave,dejar,v
despertaron,20904,to wake,despertar,v
ecuatoriano,20905,Ecuadorian,ecuatoriano,adj
goliat,20906,goliath,Goliat,prop
gritarle,20907,to shout; to scream; to cry out; to call out,gritar,v
hablarse,20908,to talk,hablar,v
inaugurado,20909,to inaugurate,inaugurar,v
introduciendo,20910,to insert,introducir,v
multiplicado,20911,to multiply,multiplicar,v
pasional,20912,passionate,pasional,adj
perturbación,20913,perturbation,perturbación,n
razonablemente,20914,reasonably,razonablemente,adv
relajar,20915,to relax; to loosen,relajar,v
semblante,20916,countenance,semblante,n
supremacía,20917,supremacy,supremacía,n
torácica,20918,thoracic,torácico,adj
traseras,20919,back; back-side; rear-side; posterior,trasero,adj
acostumbro,20920,accustom; inure; familiarize,acostumbrar,v
administra,20921,to administer,administrar,v
atascados,20922,blocked; stuck; jammed,atascado,adj
cachorrito,20923,puppy,cachorrito,n
morían,20924,to die,morir,v
rodado,20925,to roll; rotate,rodar,v
saqueo,20926,sack; plunder; pillage,saqueo,n
satelital,20927,satellite,satelital,adj
subterráneas,20928,subterranean; underground,subterráneo,adj
atorado,20929,to clog; clog up,atorar,v
bing,20930,bing,bing,none
detesta,20931,to detest; to loathe; to abominate,detestar,v
drogadicta,20932,addicted to drugs,drogadicto,adj
enamorando,20933,to enamor,enamorar,v
grupal,20934,group,grupal,adj
logística,20935,logistics,logístico,adj
maligna,20936,malicious; malevolent,maligno,adj
matinal,20937,morning; matinal,matinal,adj
recaída,20938,relapse,recaída,n
alejarnos,20939,to remove to a distance; put farther away; to lead away; to draw away,alejar,v
antebrazo,20940,forearm,antebrazo,n
escucharlos,20941,to listen to; to hear out,escuchar,v
espiritualidad,20942,spirituality,espiritualidad,n
porra,20943,club; baton; truncheon; nightstick,porra,n
quítatelo,20944,debt relief,quitar,v
sic,20945,sic (thus,sic,adv
séquito,20946,entourage; retinue,séquito,n
versalles,20947,Versailles,Versalles,prop
causará,20948,to cause; to make,causar,v
flexiones,20949,curl,flexión,n
geología,20950,geology,geología,n
malignos,20951,malicious; malevolent,maligno,adj
prefectura,20952,prefecture,prefectura,n
proclamó,20953,to proclaim,proclamar,v
secular,20954,secular,secular,adj
telefonear,20955,to telephone,telefonear,v
trastos,20956,piece of junk; thing; gizmo,trasto,n
bucle,20957,curl of hair,bucle,n
centrarnos,20958,to focus; to center,centrar,v
confinamiento,20959,lockdown,confinamiento,n
contemplan,20960,to contemplate,contemplar,v
cubanas,20961,female equivalent of cubano,cubano,adj
marga,20962,marl,marga,n
n.,20963,abbreviation of nacido,n.,adj
obsesiva,20964,obsessive,obsesivo,adj
basílica,20965,basilica,basílica,n
calabazas,20966,pumpkin; Cucurbita pepo,calabaza,n
cementerios,20967,cemetery,cementerio,n
circulando,20968,circular,circular,v
collado,20969,hill,Collado,prop
credo,20970,creed,credo,n
fertilizantes,20971,fertilizer,fertilizante,n
oslo,20972,Oslo,Oslo,prop
pontífice,20973,pontiff,pontífice,n
prepararlo,20974,to prepare,preparar,v
proyector,20975,projector; video projector,proyector,n
queres,20976,to desire; to want; to want to,queres,none
antiguamente,20977,long ago,antiguamente,adv
aparenta,20978,to pretend; feign; front,aparentar,v
bayas,20979,berry,baya,n
criollos,20980,creole,criollo,adj
democracias,20981,democracy,democracia,n
difuntos,20982,deceased,difunto,adj
digame,20983,way to say hello on the telephone,digame,none
empleó,20984,job; employment,emplear,v
eusebio,20985,given name,Eusebio,prop
hernia,20986,hernia,hernia,n
milagrosamente,20987,miraculously,milagrosamente,adv
hematoma,20988,bruise,hematoma,n
irónica,20989,ironic,irónico,adj
louvre,20990,louvre,louvre,none
luminosidad,20991,luminosity,luminosidad,n
regocijo,20992,widespread joy; jubilation,regocijo,n
acostamos,20993,to lay,acostar,v
anormales,20994,abnormal,anormal,adj
augusta,20995,august,augusto,adj
burócratas,20996,bureaucrat,burócrata,n
empujé,20997,thrust,empujar,v
jacinta,20998,given name,Jacinta,prop
mítica,20999,mythic; mythical,mítico,adj
remolino,21000,vortex; whirlpool; whirlwind,remolino,n
revisiones,21001,revision,revisión,n
superiora,21002,mother superior,superiora,n
acordeón,21003,accordion,acordeón,n
aquéllas,21004,that one,aquél,pron
arqueológico,21005,archeological,arqueológico,adj
avanzamos,21006,to advance (to make (something) happen at an earlier time or date),avanzar,v
comparaciones,21007,comparison,comparación,n
electricista,21008,electrician,electricista,n
enfriamiento,21009,cooling,enfriamiento,n
estimulantes,21010,stimulating,estimulante,adj
menester,21011,something necessary; requirement; must,menester,n
palitos,21012,stick,palito,n
penosa,21013,tough; difficult,penoso,adj
preferidos,21014,preferred; of choice,preferir,v
prominente,21015,prominent,prominente,adj
relámpagos,21016,lightning; bolt,relámpago,n
resplandeciente,21017,resplendent,resplandeciente,adj
traspasar,21018,to transfer,traspasar,v
tratase,21019,trafficking; trade; slave trade,tratar,v
viajaron,21020,to travel; journey,viajar,v
arrastran,21021,to drag,arrastrar,v
búscame,21022,search,buscar,v
convertirnos,21023,to convert,convertir,v
culminó,21024,to culminate,culminar,v
dedicarme,21025,to dedicate; to spend time,dedicar,v
paramédico,21026,paramedic,paramédico,n
vesícula,21027,vesicle,vesícula,n
aguantarlo,21028,to hold; withhold; hold back; retain,aguantar,v
apagando,21029,to extinguish (a flame; fire); to douse,apagar,v
apestosa,21030,stinking; smelly,apestoso,adj
bermudas,21031,Bermudas,Bermudas,prop
capo,21032,gangster,capo,n
colabora,21033,to collaborate,colaborar,v
conmemoración,21034,commemoration,conmemoración,n
constanza,21035,Constance,Constanza,prop
derramamiento,21036,spillage,derramamiento,n
dirigencia,21037,leadership,dirigencia,n
frustraciones,21038,frustration,frustración,n
gobernado,21039,to govern,gobernar,v
luciendo,21040,to shine,lucir,v
noruego,21041,Norwegian,noruego,adj
predisposición,21042,predisposition,predisposición,n
singulares,21043,singular,singular,adj
titularidad,21044,ownership,titularidad,n
vibrante,21045,vibrating,vibrante,adj
válidas,21046,valid,válido,adj
cansó,21047,withering,cansar,v
enmascarado,21048,masked,enmascarado,adj
everest,21049,Everest,Everest,prop
jaqueca,21050,headache,jaqueca,n
perversión,21051,perversion,perversión,n
teñido,21052,to color; dye; stain,teñir,v
alejadas,21053,far; faraway; distant,alejado,adj
catástrofes,21054,catastrophe; disaster,catástrofe,n
colocamos,21055,to place,colocar,v
empleador,21056,that employs,empleador,n
internacionalmente,21057,internationally,internacionalmente,adv
picadura,21058,sting; bite e.g. from a snake or insect,picadura,n
premier,21059,premier,premier,n
puntualmente,21060,punctually; on time; promptly,puntualmente,adv
registrarse,21061,to register; record,registrar,v
activada,21062,activated; enabled,activado,adj
asumimos,21063,to assume; take on,asumir,v
divorcios,21064,divorce,divorcio,n
gras,21065,gros,gras,none
llevarían,21066,to take; to take out,llevar,v
pediatría,21067,pediatrics; paediatrics,pediatría,n
sentirnos,21068,to feel,sentir,v
surgiendo,21069,to arise; emerge; surface; crop up; spring up; pop up,surgir,v
telescopios,21070,telescope,telescopio,n
uribe,21071,surname,Uribe,prop
videojuego,21072,video game,videojuego,n
afectiva,21073,affective,afectivo,adj
aromas,21074,aroma,aroma,n
atacaremos,21075,to attack; to come at,atacar,v
determinará,21076,to determine,determinar,v
estratégicas,21077,strategic,estratégico,adj
existes,21078,to exist,existir,v
exóticas,21079,exotic,exótico,adj
guatemalteco,21080,Guatemalan,guatemalteco,adj
guiará,21081,to guide,guiar,v
narrativo,21082,narrative,narrativo,adj
originan,21083,to originate,originar,v
osea,21084,or,o sea,adv
partos,21085,Parthian,parto,n
planeada,21086,planned,planeado,adj
sole,21087,to tend to,sole,none
voleibol,21088,volleyball,voleibol,n
agradecérselo,21089,to thank,agradecer,v
altibajos,21090,ups and downs,altibajo,n
borja,21091,A town and municipality of Zaragoza; Spain,Borja,prop
camioneros,21092,related to trucks,camionero,n
cutter,21093,cutter,cutter,none
distinguidos,21094,distinguished; refined; elegant,distinguido,adj
estadunidense,21095,American,estadounidense,adj
fuésemos,21096,to be,ser,v
lienzos,21097,canvas,lienzo,n
notoria,21098,well-known,notorio,adj
patologías,21099,pathology,patología,n
peatones,21100,pedestrian,peatón,n
perjurio,21101,perjury,perjurio,n
tendieron,21102,to tend to; to have a tendency,tender,v
arruinaron,21103,to ruin,arruinar,v
combinados,21104,combined,combinado,adj
comprobamos,21105,to check; to check on; to check out; to see; to check to see,comprobar,v
consistentes,21106,consisting,consistente,adj
cortaba,21107,to cut,cortar,v
lingüístico,21108,linguistic,lingüístico,adj
maldiciones,21109,curse,maldición,n
pintaba,21110,to paint,pintar,v
preocupamos,21111,to worry; to concern; to trouble; to be worrisome to; to preoccupy,preocupar,v
remolacha,21112,beet,remolacha,n
soltaron,21113,to release,soltar,v
terapéuticas,21114,therapy,terapéutico,adj
abelardo,21115,given name,Abelardo,prop
anchos,21116,wide,ancho,n
autodeterminación,21117,self-determination,autodeterminación,n
contables,21118,countable,contable,adj
corresponder,21119,to correspond to,corresponder,v
deseé,21120,to wish,desear,v
emergente,21121,emerging; upcoming,emergente,adj
encargan,21122,to entrust,encargar,v
feminismo,21123,feminism,feminismo,n
indigentes,21124,indigent; needy,indigente,n
lira,21125,lyre,lira,n
ofrecida,21126,easy,ofrecido,adj
pirineos,21127,Pyrenees,Pirineos,prop
refrigeración,21128,refrigeration,refrigeración,n
repulsivo,21129,repulsive,repulsivo,adj
sentíamos,21130,to feel,sentir,v
andado,21131,stepchild; stepson,andar,v
asisten,21132,to attend,asistir,v
bocetos,21133,sketch; outline,boceto,n
canas,21134,A province; Cusco of Peru,cana,n
chimeneas,21135,chimney,chimenea,n
entristece,21136,to sadden; make sad,entristecer,v
espaguetis,21137,spaghetti,espagueti,n
extrañaría,21138,to miss,extrañar,v
guillén,21139,surname,Guillén,prop
implementar,21140,to implement,implementar,v
londinense,21141,Londoner,londinense,adj
tócame,21142,kerchief; turban cloth,tocar,v
bambi,21143,deer,bambi,n
ceuta,21144,Ceuta,Ceuta,prop
consecutivas,21145,consecutive; running; in a row; back-to-back,consecutivo,adj
declarando,21146,to declare,declarar,v
desconocer,21147,to not be familiar with; to not know; to not recognize,desconocer,v
desigualdades,21148,inequality,desigualdad,n
distanciamiento,21149,distancing,distanciamiento,n
ela,21150,ALS,ELA,n
novata,21151,newbie,novato,n
reteniendo,21152,to retain; to remember,retener,v
revisaste,21153,to revise,revisar,v
chimpancés,21154,chimpanzee,chimpancé,n
comodoro,21155,commodore,comodoro,n
cúspide,21156,peak,cúspide,n
electrodomésticos,21157,home appliance; electrical appliance,electrodoméstico,n
garbanzos,21158,chickpea,garbanzo,n
miraflores,21159,A town in Boyacá department of Colombia,Miraflores,prop
parir,21160,to give birth,parir,v
pillaron,21161,to catch; get; to grab,pillar,v
reabrir,21162,to reopen,reabrir,v
reproches,21163,reproach; criticism,reproche,n
respetuosamente,21164,respectfully,respetuosamente,adv
solidaria,21165,caring; sympathetic to,solidario,adj
íntegramente,21166,entirely,íntegramente,adv
bocazas,21167,big mouth; bigmouth; chatterbox,bocazas,n
bombardero,21168,bombing,bombardero,n
creaste,21169,to create,crear,v
cu,21170,Name of the letter q,cu,n
dorso,21171,back,dorso,n
inadecuada,21172,inadequate,inadecuado,adj
lavanda,21173,lavender,lavanda,n
ocupas,21174,to occupy,ocupar,v
praxis,21175,praxis,praxis,n
sanchez,21176,sanchez,sanchez,none
santísima,21177,holy; godly,santísimo,adj
semi,21178,semifinal; semi-final,semi,n
sim,21179,Sim,sim,n
tocadiscos,21180,record player,tocadiscos,n
angustiada,21181,anguished,angustiado,adj
debilita,21182,to weaken,debilitar,v
deserción,21183,desertion,deserción,n
dudaba,21184,to doubt,dudar,v
energéticas,21185,energy company,energético,adj
genérico,21186,generic,genérico,adj
kan,21187,khan,kan,n
laderas,21188,slope,ladera,n
tofu,21189,tofu,tofu,n
alegaciones,21190,allegation,alegación,n
arrancarle,21191,to pull out,arrancar,v
corderos,21192,lamb,cordero,n
deudores,21193,debtor,deudor,n
estrógenos,21194,estrogenic,estrógeno,n
interrogó,21195,to interrogate,interrogar,v
iraníes,21196,Iranian,iraní,adj
músicas,21197,music,música,n
reglamentación,21198,ruling,reglamentación,n
sembrado,21199,farmland that has been sown,sembrar,v
óvulos,21200,ovule,óvulo,n
avatares,21201,avatar,avatar,n
bohemia,21202,female equivalent of bohemio,Bohemia,prop
crucifijo,21203,crucifix,crucifijo,n
desaparecía,21204,to disappear; to go missing; to vanish; to be gone,desaparecer,v
dolencia,21205,ailment; illness,dolencia,n
dron,21206,drone,dron,n
esmeraldas,21207,A province; Ecuador,Esmeralda,prop
funk,21208,funk,funk,n
férrea,21209,iron,férreo,adj
hincha,21210,annoying,hincha,n
pandilleros,21211,gangster; gang member,pandillero,n
prestaba,21212,to lend,prestar,v
rizado,21213,curly,rizado,adj
rompía,21214,to break,romper,v
voltaje,21215,voltage,voltaje,n
amenazados,21216,threatened,amenazado,adj
artesano,21217,artisanal,artesano,n
asienta,21218,seat,asentar,v
desodorante,21219,deodorant,desodorante,n
detectan,21220,to detect,detectar,v
estampas,21221,stamp; print,estampa,n
ganada,21222,profit; gain; earnings,ganado,adj
horrendo,21223,horrendous; horrific; dreadful; awful,horrendo,adj
híbridos,21224,hybrid,híbrido,n
kabul,21225,Kabul,Kabul,prop
paramilitares,21226,paramilitary,paramilitar,n
plateada,21227,silver-plated,plateado,adj
polares,21228,polar,polar,adj
reclamado,21229,to reclaim; to recover possession of,reclamar,v
silenciosos,21230,silent,silencioso,adj
suspense,21231,suspense,suspense,n
taxistas,21232,taxi driver,taxista,n
arrestamos,21233,to arrest,arrestar,v
atraía,21234,to attract; to lure,atraer,v
bipolar,21235,bipolar,bipolar,adj
cucharas,21236,spoon,cuchara,n
eminentemente,21237,eminently,eminentemente,adv
espécimen,21238,specimen,espécimen,n
implicaba,21239,to imply; to implicate,implicar,v
incontrolable,21240,uncontrollable,incontrolable,adj
indignado,21241,indignant,indignado,adj
kenia,21242,Kenya,Kenia,prop
landry,21243,surname,Landry,prop
nacionalidades,21244,nationality,nacionalidad,n
nato,21245,born,nato,adj
rareza,21246,rareness; rarity,rareza,n
rinoceronte,21247,rhinoceros,rinoceronte,n
trote,21248,trot,trote,n
agresores,21249,aggressor; assailant,agresor,n
aguantas,21250,that's crazy,aguantar,v
anteproyecto,21251,a preliminary plan,anteproyecto,n
arsénico,21252,arsenic,arsénico,n
envase,21253,bottle; jar,envase,n
fulana,21254,miss so-and-so,Fulano,prop
hackear,21255,to check,hackear,v
jurada,21256,sworn in,jurado,adj
largarme,21257,to chase away,largar,v
soberbio,21258,haughty,soberbio,adj
trafico,21259,to smuggle,traficar,v
abrirme,21260,to open; open up,abrir,v
autodestrucción,21261,self-destruction,autodestrucción,n
centroamericano,21262,Central American,centroamericano,n
descompuesto,21263,broken down; out of order,descompuesto,adj
desvió,21264,to divert; to distract; to shift; to sidetrack,desviar,v
edo,21265,given name,edo,none
imaginarios,21266,imaginary,imaginario,adj
paulino,21267,Pauline,Paulino,prop
pretencioso,21268,pretentious,pretencioso,adj
sopas,21269,soup,sopa,n
sustituta,21270,substitute,sustituto,n
vapores,21271,steam; vapor,vapor,n
votan,21272,to vote,votar,v
alardear,21273,to boast; brag,alardear,v
alcanzados,21274,in debt,alcanzar,v
aplastada,21275,crushed; squashed; flattened,aplastado,adj
escarlata,21276,scarlet,escarlata,adj
esencias,21277,essence,esencia,n
panorámica,21278,panoramic,panorámico,adj
rutinario,21279,routine,rutinario,adj
sexys,21280,sexy,sexi,adj
sureño,21281,southern,sureño,adj
umbilical,21282,umbilical,umbilical,adj
astrología,21283,astrology,astrología,n
atacarán,21284,to attack; to come at,atacar,v
cerilla,21285,match,cerilla,n
cojín,21286,cushion,cojín,n
coreanos,21287,chorea,coreano,adj
desesperanza,21288,hopelessness,desesperanza,n
embarcar,21289,to embark; to sail; to ship out,embarcar,v
ineludible,21290,unavoidable,ineludible,adj
maqueta,21291,model,maqueta,n
movilizar,21292,to mobilize,movilizar,v
parando,21293,to stop; halt,parar,v
picantes,21294,hot and spicy; piquant,picante,adj
quitarnos,21295,to get rid of,quitar,v
rebanada,21296,slice,rebanada,n
refinada,21297,refined,refinado,adj
sms,21298,SMS,SMS,n
sujetando,21299,to steady; hold; secure; attach; fasten,sujetar,v
agarras,21300,grab; hold,agarrar,v
argumentó,21301,argument,argumentar,v
asesinas,21302,female equivalent of asesino,asesinar,v
bélico,21303,military; war; warlike,bélico,adj
consuela,21304,solace,consolar,v
contestaste,21305,to reply; retort; answer; respond,contestar,v
cota,21306,coat of arms,cota,n
desordenada,21307,messy,desordenado,adj
enjambre,21308,swarm,enjambre,n
entramado,21309,framework; structure,entramado,n
gradué,21310,to graduate [+de (from) and en (in)],graduar,v
lejía,21311,lye,lejía,n
reaccionan,21312,to react,reaccionar,v
unamuno,21313,surname,Unamuno,prop
valium,21314,Valium,Valium,n
adorado,21315,to adore,adorar,v
agarramos,21316,to grab or take hold of,agarrar,v
apartarse,21317,come away,apartar,v
arquitectónico,21318,architectural; architectonic,arquitectónico,adj
carrero,21319,carter,Carrero,prop
condenaron,21320,to condemn,condenar,v
debidas,21321,owed,debido,adj
echarnos,21322,to throw; toss; cast; jettison,echar,v
esfuerza,21323,effort; endeavor,esforzar,v
hermes,21324,Statue of Hermes,Hermes,prop
lanzamos,21325,to throw,lanzar,v
nacimientos,21326,birth,nacimiento,n
robarte,21327,to rob,robar,v
sena,21328,sice,Sena,prop
ateo,21329,atheist,ateo,adj
celestes,21330,sky blue,celeste,adj
cochecito,21331,baby carriage,cochecito,n
desconocen,21332,to not be familiar with; to not know; to not recognize,desconocer,v
desplegar,21333,to deploy; unfold,desplegar,v
dilatación,21334,dilatation; dilation,dilatación,n
elegiría,21335,to choose,elegir,v
enterré,21336,to bury,enterrar,v
floral,21337,flower,floral,adj
ilustrar,21338,to illustrate,ilustrar,v
intermedios,21339,intermediate,intermedio,n
nombrados,21340,well-known,nombrado,adj
opep,21341,OPEC,OPEP,prop
romperle,21342,to break,romper,v
soplando,21343,to blow,soplar,v
trazo,21344,line; outline,trazo,n
vestidas,21345,dressed,vestido,adj
abandonarlo,21346,to abandon; to leave,abandonar,v
banal,21347,banal,banal,adj
cacique,21348,chieftain,cacique,n
cannabis,21349,cannabis,cannabis,n
compasivo,21350,compassionate,compasivo,adj
curarte,21351,to care; heed; study; strive; seek; work,curar,v
escénico,21352,scenic,escénico,adj
interesarse,21353,become interested,interesar,v
levantarlo,21354,to lift,levantar,v
movieron,21355,to move,mover,v
predomina,21356,to predominate,predominar,v
repsol,21357,repsol,repsol,none
vincula,21358,to bind,vincular,v
aorta,21359,aorta,aorta,n
confusas,21360,confused,confuso,adj
debiendo,21361,to owe,deber,v
diabólica,21362,diabolic,diabólico,adj
diverso,21363,diverse,diverso,adj
domo,21364,dome,domo,n
estrictos,21365,strict,estricto,adj
grandullón,21366,big; large,grandullón,adj
indeciso,21367,indecisive; irresolute; wavering; uncertain; hesitant,indeciso,adj
lagartos,21368,lizard,lagarto,n
letales,21369,lethal; deadly,letal,adj
padilla,21370,a saucepan,Padilla,prop
pillan,21371,to catch; get; to grab,pillar,v
residual,21372,residual,residual,adj
stress,21373,stress,stress,n
superhéroes,21374,superhero,superhéroe,n
taburete,21375,stool; barstool,taburete,n
verificado,21376,to verify; check,verificar,v
bañador,21377,swimming costume; bathing costume,bañador,n
dividimos,21378,to divide,dividir,v
exhala,21379,to exhale,exhalar,v
exhaustiva,21380,exhaustive; thorough,exhaustivo,adj
hablador,21381,talkative,hablador,n
indignante,21382,outrageous; egregious,indignante,adj
localizada,21383,located,localizado,adj
mujercita,21384,sissy; nancy; fagboy; girl,mujercita,n
mástil,21385,mast,mástil,n
primogénito,21386,firstborn,primogénito,n
válidos,21387,valid,válido,adj
alcázar,21388,alcazar,Alcázar,prop
alentador,21389,encouraging,alentador,adj
estudioso,21390,studious; bookish,estudioso,adj
frenesí,21391,frenzy,frenesí,n
limpiaba,21392,to clean,limpiar,v
mirador,21393,lookout; viewpoint; vantage point,mirador,n
motivada,21394,motivated; driven,motivado,adj
reluciente,21395,shiny,reluciente,adj
romances,21396,Romance,romance,n
telegramas,21397,telegram,telegrama,n
ton,21398,clipping of tono,ton,n
aleatorio,21399,random; aleatory,aleatorio,adj
canchas,21400,pitch; (US) field,cancha,n
combinada,21401,combined,combinado,adj
cromosoma,21402,chromosome,cromosoma,n
discrepancia,21403,discrepancy,discrepancia,n
duplicar,21404,to double,duplicar,v
durazno,21405,peach,Durazno,prop
formarse,21406,to form; to create,formar,v
maldecir,21407,to damn; to curse,maldecir,v
merecían,21408,to deserve,merecer,v
negocia,21409,business; enterprise,negociar,v
perpetuo,21410,perpetual,perpetuo,adj
acorralado,21411,to corral; to corner,acorralar,v
alquimia,21412,alchemy,alquimia,n
aversión,21413,aversion,aversión,n
bíblico,21414,biblical,bíblico,adj
civilizados,21415,civilized,civilizado,adj
cráneos,21416,crane,cráneo,n
encendidos,21417,on; activated,encendido,adj
laurence,21418,laurence,laurence,none
matrículas,21419,matriculation,matrícula,n
pateó,21420,stomp,patear,v
sierras,21421,saw,Sierra,prop
suertes,21422,luck; fortune,suerte,n
abrirle,21423,to open; open up,abrir,v
colecta,21424,collection; alms,colecta,n
mili,21425,military service,mili,n
muela,21426,molar,muela,n
teorema,21427,theorem,teorema,n
trasfondo,21428,background,trasfondo,n
triunfado,21429,to triumph,triunfar,v
consecutiva,21430,consecutive; running; in a row; back-to-back,consecutivo,adj
encías,21431,gum,encía,n
humanista,21432,humanist,humanista,n
jala,21433,to pull,jalar,v
mediciones,21434,measurement,medición,n
pensativo,21435,pensive,pensativo,adj
resistido,21436,to tolerate; to put up with; to bear; to handle; to stand,resistir,v
secretarias,21437,female equivalent of secretario,secretario,n
susurros,21438,whisper; murmur,susurro,n
arrestan,21439,to arrest,arrestar,v
cantinero,21440,bartender,cantinero,n
capta,21441,to capture; perceive; register; understand,captar,v
cerros,21442,hill,cerro,n
defensivas,21443,defensive,defensivo,adj
descansado,21444,well-rested,descansar,v
escuchaban,21445,to listen to; to hear out,escuchar,v
evolutiva,21446,evolutionary,evolutivo,adj
kiev,21447,Kyiv,Kiev,prop
mercante,21448,merchant,mercante,n
mándame,21449,vow,mandar,v
volé,21450,to fly; to fly away,volar,v
aplazar,21451,to postpone,aplazar,v
aristócrata,21452,aristocrat,aristócrata,n
asignada,21453,assigned,asignado,adj
camionetas,21454,pick-up truck,camioneta,n
cantará,21455,to sing,cantar,v
comensales,21456,messmate; commensal; fellow diner; dining companion,comensal,n
contratamos,21457,to contract; to take on,contratar,v
intrigado,21458,intrigued,intrigado,adj
nativa,21459,native,nativo,adj
necesitarías,21460,to need,necesitar,v
prestarle,21461,to lend,prestar,v
privación,21462,deprivation; privation; hardship,privación,n
rezaba,21463,to read; say,rezar,v
ultrasonido,21464,ultrasound,ultrasonido,n
vuélvete,21465,to return; to revert; to get back,volver,v
allegados,21466,close; near,allegado,n
azotes,21467,whip; lash; scourge,azote,n
azulejos,21468,blue colored,azulejo,n
cisjordania,21469,West Bank,Cisjordania,prop
coles,21470,cabbage,col,n
culta,21471,educated,culto,adj
disfrutó,21472,to enjoy,disfrutar,v
enchufe,21473,plug,enchufe,n
entusiastas,21474,enthusiastic,entusiasta,adj
expediciones,21475,expedition,expedición,n
firmará,21476,to sign,firmar,v
idioteces,21477,idiocy,idiotez,n
patéticos,21478,pathetic,patético,adj
presenciado,21479,to witness,presenciar,v
puig,21480,surname,Puig,prop
reclusión,21481,reclusion,reclusión,n
aguantado,21482,to hold; withhold; hold back; retain,aguantar,v
alertar,21483,to alert,alertar,v
atreverse,21484,dare,atrever,v
atroces,21485,atrocious,atroz,adj
barroca,21486,Baroque,barroco,adj
calado,21487,soaked; drenched,calado,n
chusma,21488,gossipy,chusma,n
cáliz,21489,chalice; goblet,cáliz,n
exclusivos,21490,exclusive,exclusivo,adj
exigentes,21491,demanding; picky; exacting; choosy; fussy; tough; fastidious; finicky,exigente,adj
implícito,21492,implicit,implícito,adj
latitudes,21493,latitude,latitud,n
milenios,21494,millennium,milenio,n
pe,21495,letter: p,pe,n
peros,21496,but,pero,n
puertorriqueños,21497,Puerto Rican,puertorriqueño,adj
repartido,21498,to share; give out,repartir,v
trizas,21499,fragment,triza,n
urge,21500,to be urgent; pressing,urgir,v
voladora,21501,a small bus used for public transportation,volador,adj
absolutos,21502,absolute,absoluto,adj
atraparán,21503,to capture,atrapar,v
bastan,21504,to be enough,bastar,v
desintegración,21505,disintegration,desintegración,n
filtrado,21506,filtering,filtrado,n
hallaste,21507,to find something; deliberately or not,hallar,v
leido,21508,to read,leido,none
menciono,21509,to mention,mencionar,v
separaba,21510,to separate; to detach (to disunite from a group or mass,separar,v
teóricas,21511,theoretical,teórico,adj
trina,21512,Trinitarian,trinar,v
arman,21513,arman,armar,v
contenidas,21514,content,contener,v
croata,21515,Croatian,croata,adj
denos,21516,to give; to give out,dar,v
enamoraste,21517,to enamor,enamorar,v
ferroviario,21518,railroad; railway,ferroviario,adj
grabamos,21519,to record,grabar,v
incurable,21520,incurable,incurable,adj
mad,21521,abbreviation of Madrid,MAD,prop
madridista,21522,of or connected to Real Madrid; a famous football club from Madrid,madridista,adj
magistratura,21523,magistracy,magistratura,n
maguire,21524,maguire,maguire,none
sotelo,21525,surname,Sotelo,prop
superé,21526,to surpass; exceed,superar,v
cuco,21527,clever; cunning,cuco,n
debilitado,21528,to weaken,debilitar,v
enfatizó,21529,to emphasize,enfatizar,v
guarra,21530,female equivalent of guarro,guarro,n
hits,21531,hit,hit,n
lavadero,21532,washboard,lavadero,n
pibe,21533,kid; young person,pibe,n
solicitamos,21534,to request; to ask for; to solicit,solicitar,v
afecciones,21535,a complaint,afección,n
afloja,21536,to loosen,aflojar,v
baza,21537,trick,baza,n
cauces,21538,riverbed,cauce,n
consentido,21539,pampered; indulged; spoiled,consentir,v
correas,21540,belt; band,Correa,prop
cualificado,21541,requiring qualifications,cualificado,adj
decepcionarte,21542,to disappoint; to let down; to underwhelm,decepcionar,v
dormirme,21543,to sleep,dormir,v
entrometido,21544,nosy; meddlesome; intrusive,entrometido,adj
inducción,21545,induction,inducción,n
investigarlo,21546,to investigate; to research,investigar,v
ligereza,21547,agility,ligereza,n
mandela,21548,mandela,mandela,none
ofenda,21549,insult,ofender,v
ofrendas,21550,offering; sacrifice,ofrenda,n
servirme,21551,to serve (to be a servant or worker,servir,v
simpáticos,21552,nice; pleasant; likable,simpático,adj
tranquilizante,21553,tranquilizing,tranquilizante,n
alentar,21554,to encourage; animate,alentar,v
almeida,21555,surname,Almeida,prop
